date,month,place_name,round,race_id,morning_rank,post_rate_pct,rule,buy,points,stake_yen,payback_yen,payout_yen,trifecta,hit,is_manshu,is_over5000,heads,axes,keshi,tickets,checks
2025-04-10,2025-04,戸田,1,2025-04-100201,3,35.11,skip_rate_ng,0,0,0,0,11020,526,0,1,1,,,,,展示後38%未満:NG(35.11%)
2025-04-10,2025-04,江戸川,5,2025-04-100305,4,30.94,skip_missing_exhibition,0,0,0,0,7500,412,0,0,1,,,,,展示/1周6艇未満
2025-04-10,2025-04,戸田,8,2025-04-100208,5,32.74,skip_rate_ng,0,0,0,0,13770,632,0,1,1,,,,,展示後38%未満:NG(32.74%)
2025-04-10,2025-04,丸亀,3,2025-04-101503,6,34.86,skip_rate_ng,0,0,0,0,4500,542,0,0,0,,,,,展示後38%未満:NG(34.86%)
2025-04-10,2025-04,多摩川,8,2025-04-100508,7,31.54,skip_rate_ng,0,0,0,0,11150,435,0,1,1,,,,,展示後38%未満:NG(31.54%)
2025-04-10,2025-04,尼崎,2,2025-04-101302,8,38.72,skip_subcore_conditions_ng,0,0,0,0,1840,134,0,0,0,,,,,"展示後38〜39.9%:OK(38.72%) / 1号艇危険:OK / 1AI予測43.2% / 1逃げ34.6% / 1逃げ失敗50.0% / 1展示+周平均との差0.03 / 外頭2艇の2番手まで強い:NG(頭3,1,下限47.1) / 5/6絡み:NG / 内軸残り:NG(軸4,5) / 軸ルール:AI3連対率+一般3連対率の1位と3位（頭と重なる時はAI3連対率+一般3連対率の2位と3位で補完）"
2025-04-10,2025-04,多摩川,1,2025-04-100501,9,29.14,skip_rate_ng,0,0,0,0,6500,214,0,0,1,,,,,展示後38%未満:NG(29.14%)
2025-04-10,2025-04,芦屋,9,2025-04-102109,10,29.74,skip_rate_ng,0,0,0,0,7720,263,0,0,1,,,,,展示後38%未満:NG(29.74%)
2025-04-11,2025-04,尼崎,2,2025-04-111302,1,29.54,skip_rate_ng,0,0,0,0,8170,132,0,0,1,,,,,展示後38%未満:NG(29.54%)
2025-04-11,2025-04,尼崎,4,2025-04-111304,2,31.21,skip_rate_ng,0,0,0,0,1190,123,0,0,0,,,,,展示後38%未満:NG(31.21%)
2025-04-11,2025-04,江戸川,1,2025-04-110301,3,32.74,skip_missing_exhibition,0,0,0,0,720,132,0,0,0,,,,,展示/1周6艇未満
2025-04-11,2025-04,江戸川,4,2025-04-110304,4,29.06,skip_missing_exhibition,0,0,0,0,3670,321,0,0,0,,,,,展示/1周6艇未満
2025-04-11,2025-04,戸田,2,2025-04-110202,5,25.34,skip_rate_ng,0,0,0,0,8160,324,0,0,1,,,,,展示後38%未満:NG(25.34%)
2025-04-11,2025-04,若松,4,2025-04-112004,6,32.94,skip_rate_ng,0,0,0,0,12610,345,0,1,1,,,,,展示後38%未満:NG(32.94%)
2025-04-11,2025-04,丸亀,2,2025-04-111502,7,35.01,skip_rate_ng,0,0,0,0,12100,413,0,1,1,,,,,展示後38%未満:NG(35.01%)
2025-04-11,2025-04,蒲郡,2,2025-04-110702,8,22.94,skip_rate_ng,0,0,0,0,2020,145,0,0,0,,,,,展示後38%未満:NG(22.94%)
2025-04-11,2025-04,戸田,8,2025-04-110208,9,35.11,skip_rate_ng,0,0,0,0,2270,642,0,0,0,,,,,展示後38%未満:NG(35.11%)
2025-04-11,2025-04,丸亀,4,2025-04-111504,10,34.51,skip_rate_ng,0,0,0,0,3770,123,0,0,0,,,,,展示後38%未満:NG(34.51%)
2025-04-12,2025-04,戸田,6,2025-04-120206,1,32.94,skip_rate_ng,0,0,0,0,12730,654,0,1,1,,,,,展示後38%未満:NG(32.94%)
2025-04-12,2025-04,多摩川,1,2025-04-120501,2,32.34,skip_rate_ng,0,0,0,0,4230,315,0,0,0,,,,,展示後38%未満:NG(32.34%)
2025-04-12,2025-04,蒲郡,2,2025-04-120702,3,38.47,subcore,1,12,1200,0,76270,634,0,1,1,"3,5","1,2",6.0,315 325 351 352 513 514 521 523 524 531 532 541,"展示後38〜39.9%:OK(38.47%) / 1号艇危険:OK / 1AI予測26.2% / 1逃げ21.1% / 1逃げ失敗60.5% / 1展示+周平均との差-0.16 / 外頭2艇の2番手まで強い:OK(頭3,5,下限33.9) / 5/6絡み:OK / 内軸残り:OK(軸1,2) / 軸ルール:AI3連対率+一般3連対率の1位と3位（頭と重なる時はAI3連対率+一般3連対率の2位と3位で補完）"
2025-04-12,2025-04,蒲郡,3,2025-04-120703,4,27.44,skip_rate_ng,0,0,0,0,4950,456,0,0,0,,,,,展示後38%未満:NG(27.44%)
2025-04-12,2025-04,若松,3,2025-04-122003,5,28.54,skip_rate_ng,0,0,0,0,3460,153,0,0,0,,,,,展示後38%未満:NG(28.54%)
2025-04-12,2025-04,唐津,10,2025-04-122310,6,34.86,skip_rate_ng,0,0,0,0,3720,354,0,0,0,,,,,展示後38%未満:NG(34.86%)
2025-04-12,2025-04,多摩川,4,2025-04-120504,7,32.94,skip_rate_ng,0,0,0,0,6020,613,0,0,1,,,,,展示後38%未満:NG(32.94%)
2025-04-12,2025-04,江戸川,5,2025-04-120305,8,30.14,skip_missing_exhibition,0,0,0,0,1460,214,0,0,0,,,,,展示/1周6艇未満
