date,rank,place,round,source_kind,manshu_rate_pct,heads,axes,keshi,points,tickets,result,payout,result_manshu,hit,hit_manshu,stake,return,profit,race_id
2026-05-25,10,住之江,12,saved,32.77,4-6,1-2,5,15,4-1-3 4-1-6 4-2-1 4-2-6 4-6-1 4-6-2 6-1-3 6-1-4 6-2-1 6-2-3 6-2-4 6-3-1 6-3-2 6-4-1 6-4-2,1-3-6,3640,False,False,False,1500,0,-1500,2026-05-251212
2026-05-26,6,丸亀,11,saved,33.04,4-5,1-2,3,15,4-1-5 4-1-6 4-2-5 4-2-6 4-5-1 4-5-2 4-6-1 4-6-2 5-1-4 5-1-6 5-2-1 5-2-4 5-2-6 5-4-1 5-4-2,1-4-5,1100,False,False,False,1500,0,-1500,2026-05-261511
2026-05-27,6,常滑,12,saved,34.14,5-6,1-3,4,15,5-1-2 5-1-3 5-1-6 5-2-1 5-2-3 5-3-1 5-3-2 5-3-6 5-6-1 5-6-3 6-1-3 6-1-5 6-3-1 6-3-2 6-3-5,6-1-3,58170,True,True,True,1500,58170,56670,2026-05-270812
2026-05-27,8,住之江,9,saved,34.14,5-4,1-2,6,15,4-1-3 4-1-5 4-2-5 4-5-1 4-5-2 5-1-2 5-1-3 5-1-4 5-2-1 5-2-3 5-2-4 5-3-1 5-3-2 5-4-1 5-4-2,4-2-5,3910,False,True,False,1500,3910,2410,2026-05-271209
2026-05-28,5,徳山,10,saved,33.94,4-5,4-1,6,15,4-1-3 4-1-5 4-2-1 4-3-1 4-5-1 5-1-2 5-1-3 5-1-4 5-2-1 5-2-4 5-3-1 5-3-4 5-4-1 5-4-2 5-4-3,1-2-6,14900,True,False,False,1500,0,-1500,2026-05-281810
2026-05-28,8,戸田,9,saved,33.04,3-6,3-1,5,15,3-1-4 3-1-6 3-2-1 3-4-1 3-6-1 6-1-2 6-1-3 6-1-4 6-2-1 6-2-3 6-3-1 6-3-2 6-3-4 6-4-1 6-4-3,2-3-1,1830,False,False,False,1500,0,-1500,2026-05-280209
2026-06-02,3,桐生,10,saved,34.14,4-3,4-1,6,15,3-1-4 3-1-5 3-2-1 3-2-4 3-4-1 3-4-2 3-4-5 3-5-1 3-5-4 4-1-2 4-1-3 4-1-5 4-2-1 4-3-1 4-5-1,3-5-4,33460,True,True,True,1500,33460,31960,2026-06-020110
2026-06-02,5,鳴門,9,saved,34.14,3-4,3-4,5,12,3-1-4 3-2-4 3-4-1 3-4-2 3-4-6 3-6-4 4-1-3 4-2-3 4-3-1 4-3-2 4-3-6 4-6-3,5-4-3,7800,False,False,False,1200,0,-1200,2026-06-021409
2026-06-02,7,唐津,10,saved,34.04,4-3,1-3,6,15,3-1-4 3-1-5 3-2-1 3-4-1 3-5-1 4-1-2 4-1-3 4-1-5 4-2-1 4-2-3 4-3-1 4-3-2 4-3-5 4-5-1 4-5-3,4-2-3,10630,True,True,True,1500,10630,9130,2026-06-022310
2026-06-02,9,鳴門,11,saved,33.44,5-3,1-3,4,15,3-1-5 3-1-6 3-2-1 3-5-1 3-6-1 5-1-2 5-1-3 5-1-6 5-2-1 5-2-3 5-3-1 5-3-2 5-3-6 5-6-1 5-6-3,1-4-2,4570,False,False,False,1500,0,-1500,2026-06-021411
