condition_type,condition_name,feature,value,n,manshu_n,manshu_rate,diff_vs_baseline,lift,ci95_low,ci95_high,p_value,mean_payout,median_payout,max_payout,train_n,train_rate,valid_n,valid_rate,reproducibility,priority,notes
single,lane1_b_class = 0,lane1_b_class,0,626,87,0.1389776357827476,-0.024142931593138933,0.8519933324072787,0.11407409385969977,0.16828515329069485,0.102069880192861,6532.955271565495,1760.0,222920,358,0.15083798882681565,268,0.12313432835820895,検証で低下,参考,
single,lane1_national_win_bucket = lt4.5,lane1_national_win_bucket,lt4.5,138,34,0.2463768115942029,0.08325624421831637,1.5103969754253308,0.18200007681875943,0.3244916717232762,0.008118504657349312,8471.739130434782,3940.0,74370,83,0.26506024096385544,55,0.21818181818181817,再現あり,中,
single,lane1_national_win_bucket = 5.5-6.49,lane1_national_win_bucket,5.5-6.49,357,50,0.1400560224089636,-0.02306454496692295,0.8586043112897332,0.1078753023402719,0.17990082990168696,0.2382042762331018,6969.187675070028,1980,136000,198,0.14646464646464646,159,0.1320754716981132,検証で低下,参考,
single,lane1_national_win_bucket = 6.5+,lane1_national_win_bucket,6.5+,243,32,0.13168724279835392,-0.03143332457753262,0.8073000536768653,0.09484676530512468,0.17999183564382396,0.18477485351618084,5601.028806584362,1550,222920,142,0.1619718309859155,101,0.0891089108910891,検証で低下,参考,
single,lane1_national_win_bucket = 4.5-5.49,lane1_national_win_bucket,4.5-5.49,249,45,0.18072289156626506,0.01760232419037852,1.107909900471451,0.1378963918210107,0.23325139398638806,0.45219054275685666,8414.25702811245,3060,126040,152,0.17105263157894737,97,0.1958762886597938,再現あり,参考,
single,lane1_local_win_bucket = 4.5-5.49,lane1_local_win_bucket,4.5-5.49,203,37,0.18226600985221675,0.01914544247633021,1.1173698864853288,0.13522391619763957,0.24111043820689027,0.4603375893607482,8250.443349753694,2620,136000,120,0.18333333333333332,83,0.18072289156626506,再現あり,参考,
single,lane1_local_win_bucket = lt4.5,lane1_local_win_bucket,lt4.5,217,43,0.19815668202764977,0.035036114651763234,1.2147866159086356,0.15057254020370459,0.25624211790418816,0.16244879164394077,8135.253456221199,3540,86830,131,0.20610687022900764,86,0.18604651162790697,再現あり,中,
single,lane1_local_win_bucket = 6.5+,lane1_local_win_bucket,6.5+,250,36,0.144,-0.01912056737588655,0.8827826086956521,0.10586196391903242,0.19291333532269944,0.4132155723926627,5315.0,1570.0,64190,155,0.16774193548387098,95,0.10526315789473684,検証で低下,参考,
single,lane1_local_win_bucket = 5.5-6.49,lane1_local_win_bucket,5.5-6.49,317,45,0.14195583596214512,-0.021164731413741422,0.8702509943766287,0.10781366527851607,0.18467209716625418,0.3077770125143897,7395.457413249212,2110,222920,169,0.14792899408284024,148,0.13513513513513514,検証で低下,参考,
single,b_count = 5,b_count,5,122,15,0.12295081967213115,-0.04016974770375539,0.7537419814682822,0.07594305873968113,0.192979141868067,0.22980462082538766,7003.196721311476,2155.0,126040,69,0.10144927536231885,53,0.1509433962264151,再現あり,参考,
single,b_count = 4,b_count,4,209,38,0.18181818181818182,0.018697614442295285,1.1146245059288538,0.1354269108330165,0.23969524573787948,0.46441291554671094,7034.114832535885,2470,73460,125,0.192,84,0.16666666666666666,再現あり,参考,
single,b_count = 6,b_count,6,42,8,0.19047619047619047,0.027355623100303927,1.167701863354037,0.09981889609856436,0.33301067354996444,0.6313498109637057,8548.57142857143,2935.0,74370,25,0.2,17,0.17647058823529413,再現あり,中,
single,b_count = 3,b_count,3,328,62,0.18902439024390244,0.025903822868015902,1.1588016967126191,0.1503445704309964,0.23490429529289117,0.20417707883028813,7829.725609756098,2605.0,136000,188,0.19680851063829788,140,0.17857142857142858,再現あり,中,
single,b_count = 1,b_count,1,48,10,0.20833333333333334,0.045212765957446804,1.2771739130434783,0.11730147795889814,0.3425917352135348,0.3965466730899143,9081.041666666666,1985.0,134480,26,0.3076923076923077,22,0.09090909090909091,検証で低下,中,
single,b_count = 2,b_count,2,108,8,0.07407407407407407,-0.08904649330181247,0.4541062801932367,0.038009793445671555,0.13939825508010056,0.012258092436391976,5140.092592592592,1635.0,110870,62,0.08064516129032258,46,0.06521739130434782,検証で低下,参考,
single,b_count = 0,b_count,0,130,20,0.15384615384615385,-0.009274413529732684,0.94314381270903,0.101853111526678,0.22571021706473152,0.7747235839906406,6696.692307692308,1845.0,222920,80,0.175,50,0.12,検証で低下,参考,
single,a1_count = 1,a1_count,1,445,75,0.16853932584269662,0.005418758466810086,1.033219345383488,0.13662799646373272,0.20612454697252633,0.75703153152896,7505.4157303370785,2530,136000,272,0.16176470588235295,173,0.1791907514450867,再現あり,参考,
single,a1_count = 0,a1_count,0,217,35,0.16129032258064516,-0.0018302447952413814,0.9887798036465637,0.11831639468634436,0.21604814532785588,0.941828801452127,6667.235023041475,2370,82350,119,0.17647058823529413,98,0.14285714285714285,検証で低下,参考,
single,a1_count = 2,a1_count,2,160,27,0.16875,0.005629432624113473,1.0345108695652174,0.11864352018350914,0.2343901415971375,0.847174081392015,7858.625,1965.0,134480,86,0.20930232558139536,74,0.12162162162162163,検証で低下,参考,
single,a1_count = 3,a1_count,3,34,3,0.08823529411764706,-0.07488527325823947,0.540920716112532,0.030465390304310128,0.22960817952360413,0.23727849851360872,4253.823529411765,1245.0,41920,18,0.1111111111111111,16,0.0625,検証で低下,参考,
