mode,scope,formation,n,avg_points,hit_count,hit_rate,manshu_hit_count,manshu_hit_rate,manshu_capture_rate,target_arare_hit_count,target_arare_hit_rate,target_arare_capture_rate,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,reference_return_rate_100yen_each,period
preview,skip_excluded,B,4335,18.0,993,0.2290657439446367,123,0.02837370242214533,0.1717877094972067,266,0.061361014994232986,0.20212765957446807,5456.777442094663,2390,222920,0.6944226579520697,valid_after_2026-05-04
preview,skip_excluded,C,4335,12.0,783,0.1806228373702422,83,0.01914648212226067,0.11592178770949721,188,0.0433679354094579,0.14285714285714285,4824.3805874840355,2180,222920,0.7261610918877355,valid_after_2026-05-04
preview,skip_excluded,D,4335,9.0,654,0.1508650519031142,46,0.01061130334486736,0.06424581005586592,138,0.03183391003460208,0.10486322188449848,4290.993883792049,2225.0,222920,0.7192900166602588,valid_after_2026-05-04
preview,chaos_top5_per_day,A,215,24.0,55,0.2558139534883721,4,0.018604651162790697,0.0851063829787234,16,0.07441860465116279,0.16842105263157894,4401.454545454545,2730,22410,0.4691472868217054,valid_after_2026-05-04
preview,chaos_top5_per_day,B,215,18.0,33,0.15348837209302327,4,0.018604651162790697,0.0851063829787234,11,0.05116279069767442,0.11578947368421053,5138.787878787879,2730,22410,0.43819121447028425,valid_after_2026-05-04
preview,chaos_top5_per_day,C,215,12.0,26,0.12093023255813953,2,0.009302325581395349,0.0425531914893617,7,0.03255813953488372,0.07368421052631578,4637.692307692308,2510.0,22410,0.4673643410852713,valid_after_2026-05-04
preview,chaos_top5_per_day,D,215,9.0,23,0.10697674418604651,0,0.0,0.0,5,0.023255813953488372,0.05263157894736842,3688.2608695652175,3010,9610,0.4383979328165375,valid_after_2026-05-04
preview,chaos_top10_per_day,A,430,24.0,118,0.2744186046511628,15,0.03488372093023256,0.16304347826086957,35,0.08139534883720931,0.19886363636363635,5343.050847457627,2935.0,35720,0.6109302325581395,valid_after_2026-05-04
preview,chaos_top10_per_day,B,430,18.0,75,0.1744186046511628,15,0.03488372093023256,0.16304347826086957,25,0.05813953488372093,0.14204545454545456,6435.6,3040,35720,0.6236046511627907,valid_after_2026-05-04
preview,chaos_top10_per_day,C,430,12.0,55,0.12790697674418605,7,0.01627906976744186,0.07608695652173914,15,0.03488372093023256,0.08522727272727272,4861.090909090909,2740,22410,0.5181395348837209,valid_after_2026-05-04
preview,chaos_top10_per_day,D,430,9.0,46,0.10697674418604651,3,0.0069767441860465115,0.03260869565217391,10,0.023255813953488372,0.056818181818181816,4058.2608695652175,2855.0,19450,0.48237726098191214,valid_after_2026-05-04
