ranking_source,top_k,mode,formation,respect_skip,place_name,target_races,settled_races,bought_races,skipped_races,total_points,purchase_yen,return_yen,profit_yen,roi_pct,roi_without_max_hit_pct,hit_count,hit_rate_pct,manshu_hit_count,manshu_hit_rate_pct,selected_manshu_races,manshu_capture_rate_pct,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,max_losing_streak,max_drawdown_yen,sample_dates
strict,10,preview,A,True,若松,46,45,29,17,696,69600,12810,-56790,18.41,11.52,4,13.79,0,0.0,8,0.0,3202.5,2875.0,4790,17,56790,24
strict,10,preview,A,True,蒲郡,6,6,3,3,72,7200,2850,-4350,39.58,0.0,1,33.33,0,0.0,0,,2850,2850,2850,2,4800,5
strict,10,preview,A,True,鳴門,60,60,43,17,1032,103200,76690,-26510,74.31,57.94,16,37.21,2,4.65,17,11.76,4793.12,2915.0,16900,7,34600,26
strict,10,preview,B,False,びわこ,4,4,4,0,72,7200,0,-7200,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,4,7200,3
strict,10,preview,B,False,三国,33,33,29,4,522,52200,57090,4890,109.37,45.21,7,24.14,2,6.9,15,13.33,8155.71,2060,33490,9,25040,20
strict,10,preview,B,False,下関,3,3,3,0,54,5400,1280,-4120,23.7,0.0,1,33.33,0,0.0,1,0.0,1280,1280,1280,2,4120,2
strict,10,preview,B,False,丸亀,70,66,49,21,882,88200,111510,23310,126.43,88.47,14,28.57,3,6.12,22,13.64,7965,5365.0,33480,13,26840,26
strict,10,preview,B,False,住之江,3,3,3,0,54,5400,0,-5400,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,3,5400,3
strict,10,preview,B,False,児島,54,53,50,4,900,90000,49080,-40920,54.53,35.53,9,18.0,1,2.0,11,9.09,5453.33,3910,17100,16,59980,25
strict,10,preview,B,False,唐津,3,3,3,0,54,5400,0,-5400,0.0,0.0,0,0.0,0,0.0,2,0.0,,,,3,5400,3
strict,10,preview,B,False,多摩川,31,31,25,6,450,45000,51080,6080,113.51,60.02,7,28.0,2,8.0,9,22.22,7297.14,1990,24070,16,29160,18
strict,10,preview,B,False,大村,16,16,15,1,270,27000,3020,-23980,11.19,0.0,1,6.67,0,0.0,2,0.0,3020,3020,3020,11,23980,9
strict,10,preview,B,False,宮島,50,50,39,11,702,70200,32220,-37980,45.9,30.36,6,15.38,2,5.13,15,13.33,5370,3590.0,10910,8,37980,21
strict,10,preview,B,False,尼崎,6,4,4,2,72,7200,5070,-2130,70.42,0.0,1,25.0,0,0.0,1,0.0,5070,5070,5070,3,5400,5
strict,10,preview,B,False,常滑,18,18,14,4,252,25200,19660,-5540,78.02,20.44,2,14.29,1,7.14,3,33.33,9830,9830.0,14510,5,11050,15
strict,10,preview,B,False,平和島,16,16,14,2,252,25200,35100,9900,139.29,82.06,5,35.71,2,14.29,4,50.0,7020,5610,14420,3,8460,10
strict,10,preview,B,False,徳山,5,5,5,0,90,9000,13680,4680,152.0,0.0,1,20.0,1,20.0,2,50.0,13680,13680,13680,4,7200,5
strict,10,preview,B,False,戸田,7,7,2,5,36,3600,0,-3600,0.0,0.0,0,0.0,0,0.0,2,0.0,,,,2,3600,7
strict,10,preview,B,False,桐生,12,12,11,1,198,19800,15170,-4630,76.62,37.07,4,36.36,0,0.0,5,0.0,3792.5,2765.0,7830,4,8860,11
strict,10,preview,B,False,江戸川,19,18,18,1,324,32400,13410,-18990,41.39,31.3,5,27.78,0,0.0,2,0.0,2682,2430,3270,5,18990,12
strict,10,preview,B,False,津,5,5,4,1,72,7200,0,-7200,0.0,0.0,0,0.0,0,0.0,4,0.0,,,,4,7200,5
strict,10,preview,B,False,浜名湖,33,32,25,8,450,45000,102660,57660,228.13,93.78,7,28.0,3,12.0,12,25.0,14665.71,8930,60460,12,21600,21
strict,10,preview,B,False,福岡,3,3,2,1,36,3600,0,-3600,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,2,3600,3
strict,10,preview,B,False,芦屋,37,36,27,10,486,48600,39890,-8710,82.08,55.58,6,22.22,2,7.41,11,18.18,6648.33,5725.0,12880,6,13140,23
strict,10,preview,B,False,若松,46,45,41,5,738,73800,20800,-53000,28.18,14.32,5,12.2,1,2.44,8,12.5,4160,2580,10230,19,63090,24
strict,10,preview,B,False,蒲郡,6,6,6,0,108,10800,1890,-8910,17.5,0.0,1,16.67,0,0.0,0,,1890,1890,1890,5,9000,5
strict,10,preview,B,False,鳴門,60,60,58,2,1044,104400,52860,-51540,50.63,34.44,12,20.69,1,1.72,17,5.88,4405,2980.0,16900,14,52810,26
strict,10,preview,B,True,びわこ,4,4,3,1,54,5400,0,-5400,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,3,5400,3
strict,10,preview,B,True,三国,33,33,19,14,342,34200,53450,19250,156.29,58.36,5,26.32,2,10.53,15,13.33,10690,5640,33490,7,19420,20
