condition_count,condition,atom_ids,races,manshu_races,manshu_rate_pct,lift_vs_all,recent_races_2025_plus,recent_manshu_races_2025_plus,recent_manshu_rate_pct,avg_payout_yen,b1_fly_pct,outer56_top3_pct,rank6_top3_pct,winner_3to6_pct,score
5,1号艇逃げ率45%未満 × 1号艇展示4位以下 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内,"b1_nige_lt45,b1_tenji_ge4,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2",327,93,28.44,1.691,203,56,27.59,9495,40.37,80.73,25.99,49.85,35.1097
5,1号艇AI+順位5位以下 × 1号艇展示5位以下 × 5/6号艇AI予測最大12%以上 × 5/6号艇AI+最大110以上 × 前半1〜6R,"b1_aiplus_rank_ge5,b1_tenji_ge5,outer56_ai_pred_ge12,outer56_aiplus_ge110,front_1_6r",182,49,26.92,1.601,64,20,31.25,8506,70.33,82.42,23.63,61.54,35.0857
5,1号艇AI予測25%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × AI+5位が展示2位以内 × 前半1〜6R,"b1_ai_pred_lt25,outer56_ai_pred_ge12,rank6_tenji_top2,rank5_tenji_top2,front_1_6r",271,72,26.57,1.58,99,28,28.28,8238,56.09,82.29,21.4,62.36,35.079
5,1号艇AI+順位5位以下 × 1号艇展示5位以下 × 5/6号艇AI+最大110以上 × AI+最下位が3〜6号艇 × 前半1〜6R,"b1_aiplus_rank_ge5,b1_tenji_ge5,outer56_aiplus_ge110,rank6_boat_36,front_1_6r",164,45,27.44,1.632,63,21,33.33,8651,68.9,79.27,22.56,60.37,34.9795
5,1号艇AI+順位4位以下 × 5/6号艇に展示2位以内 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × 前半1〜6R,"b1_aiplus_rank_ge4,outer56_tenji_top2,outer56_ai_pred_ge12,rank6_avgdiff_ge010,front_1_6r",171,47,27.49,1.635,109,31,28.44,9386,60.82,81.29,29.82,56.14,34.9674
5,1号艇逃げ率45%未満 × 1号艇AI予測30%未満 × 5/6号艇AI+最大110以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内,"b1_nige_lt45,b1_ai_pred_lt30,outer56_aiplus_ge110,rank6_avgdiff_ge010,rank6_tenji_top2",256,70,27.34,1.626,156,44,28.21,8295,47.27,79.3,30.86,54.69,34.9594
5,1号艇逃げ失敗40%以上 × 1号艇AI予測25%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × AI+5位平均との差0.10以上,"b1_loss_ge40,b1_ai_pred_lt25,outer56_ai_pred_ge12,rank6_tenji_top2,rank5_avgdiff_ge010",173,48,27.75,1.65,104,35,33.65,9340,54.91,79.19,16.76,54.34,34.9492
7,1号艇逃げ率40%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内 × AI+最下位が3〜6号艇 × 前半1〜6R × 1〜3R,"b1_nige_lt40,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2,rank6_boat_36,front_1_6r,round_1_3",171,50,29.24,1.739,106,30,28.3,9187,37.43,77.78,24.56,49.12,34.9418
5,1号艇逃げ失敗40%以上 × 1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × 1〜3R,"b1_loss_ge40,b1_ai_pred_lt30,outer56_ai_pred_ge12,rank6_tenji_top2,round_1_3",651,172,26.42,1.571,218,70,32.11,9590,51.92,79.57,25.35,56.99,34.9298
5,1号艇逃げ失敗40%以上 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × AI+最下位平均との差0.14以上 × 前半1〜6R,"b1_loss_ge40,outer56_ai_pred_ge12,rank6_tenji_top2,rank6_avgdiff_ge014,front_1_6r",275,77,28.0,1.665,166,45,27.11,8664,41.09,80.73,28.36,54.55,34.8798
5,1号艇逃げ失敗40%以上 × 1号艇逃げ率40%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × 1〜3R,"b1_loss_ge40,b1_nige_lt40,outer56_ai_pred_ge12,rank6_avgdiff_ge010,round_1_3",427,118,27.63,1.643,246,66,26.83,9859,42.39,79.39,27.4,55.27,34.8756
7,1号艇逃げ率40%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × AI+5位が展示2位以内 × AI+最下位が3〜6号艇 × 前半1〜6R × 1〜3R,"b1_nige_lt40,outer56_ai_pred_ge12,rank6_tenji_top2,rank5_tenji_top2,rank6_boat_36,front_1_6r,round_1_3",301,84,27.91,1.66,92,30,32.61,9485,34.55,74.09,23.26,50.17,34.8632
5,1号艇逃げ率45%未満 × 1号艇AI+順位4位以下 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × 1〜3R,"b1_nige_lt45,b1_aiplus_rank_ge4,outer56_ai_pred_ge12,rank6_tenji_top2,round_1_3",270,71,26.3,1.564,99,31,31.31,8483,60.0,80.37,22.22,64.81,34.8472
